Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
1,None,None,None,None,None,None
2,Bachelor?€?s,Excel,Strong work ethic,None,None,None
3,Bachelor?€?s,"MEP AutoCAD, Revit",None,None,Previous engineering internship or co-op experience,None
4,None,None,"Able to read and write accurately, Able to understand laboratory orders, computer information, and some medical terminology, Able to obtain specimens",None,Minimum 1 year patient care experience preferred,1 year
5,None,None,"Strong communication skills, High attention to detail and quality focus, Effective time management skills",English (written and verbal),None,None
6,Bachelor?€?s,"Word, Excel, PowerPoint, Teams, Outlook","Solid verbal and written communication skills, Attention to detail, Strong organizational skills and ability to multi-task",None,None,None
7,None,None,"Attention to detail, Analytical skills, Research skills, Writing skills",None,None,None
8,"Bachelor?€?s, Master?€?s",None,None,None,"Hands-on project experience strongly desired, but not required, Experience working on multi-disciplinary teams",None
9,"Bachelor?€?s, Master?€?s",Python,Excellent problem-solving and analytical skills,None,"Experience or coursework in machine learning, data analytics, natural language processing, or artificial intelligence",None
10,None,"MS Office Suite: Outlook, Word, Excel, PowerPoint","Strong administrative skills and attention to detail, Ability to work in a fast-paced environment, Organizational skills while handling multiple projects",None,None,None
11,"High School, Bachelor?€?s",Sharepoint,None,None,0 - 2 years experience in help desk or IT related support,0 - 2 years
12,Bachelor?€?s,"Social media platforms, Content management systems","Strong written and verbal communication skills, Detail-oriented with excellent organizational skills",None,None,None
13,Bachelor?€?s,"MS Office, Excel","Excellent analytical, problem-solving, and critical-thinking skills, Outstanding communication and interpersonal skills",None,"Previous internship experience in finance, accounting, or a similar role is preferred",None
14,"Master?€?s, PhD","Python, Scala, SQL",None,None,Experience with analysis of large datasets,None
15,"Bachelor?€?s, Master?€?s, MBA",None,None,None,None,None
16,"High School, Bachelor?€?s","Swift, Objective-C","Ability to work independently, as well as in a team environment",None,None,None
17,None,MS Office Suite,"Ability to use logic and reasoning to identify strengths and weaknesses of alternative solutions, Self-starter who works as a team player and independently with minimal supervision",None,Previous experience working in an athletics environment and understanding of the game of baseball,None
18,Bachelor?€?s,Microsoft Excel,"Excellent communication skills, both written and verbal, Exceptional attention to detail and organizational skills, Ability to multitask and work in a fast paced environment",None,None,None
19,Bachelor?€?s,"Java, JavaScript, Python, Bash, Powershell",Excellent verbal and written skills with great attention to detail,None,None,None
20,Bachelor?€?s,"Microsoft Office Suite, Prolog, Primavera, AutoDesk Suite",Strong communication skills,None,None,None
21,Bachelor?€?s,None,None,None,Completed coursework in reading and understanding CAD drawings,None
22,"Bachelor?€?s, Master?€?s",Microsoft Office Suite,Outstanding teammate with excellent interpersonal skills,None,Previous game night experience a plus,None
23,"Bachelor?€?s, Master?€?s",Spreadsheet software,"Strong written and verbal communication skills, Proven analytical skills",None,None,None
24,Bachelor?€?s,"Microsoft PowerPoint, Excel, Word","Self-motivated with the ability to conduct independent research and clearly present findings, Strong organizational skills with attention to detail",None,None,None
25,None,"Python, R, SQL","Strategic problem-solving & analytical skills, Strong organizational and time management skills with attention to detail",None,"Experience and/or coursework in scripting and data analysis, Experience and/or coursework performing data preparation, exploration, validation, and visualization tasks",None
26,Bachelor?€?s,None,"Strong written and verbal communication skills, Ability to work under pressure and meet deadlines in a fast-paced environment",None,None,None
27,Bachelor?€?s,"Video editing software, Newsroom equipment, Online platforms","Strong written and verbal communication skills, Ability to work under pressure and meet deadlines in a fast-paced environment",None,None,None
28,None,None,"You build collaborative relationships, You develop and motivate others, You drive quality",None,None,None
29,None,None,None,None,None,None
30,None,None,"Able to communicate effectively in the English language, Must have excellent customer service skills",English,None,None
31,None,Basic Computer skills,Excellent communication and organizational skills,None,None,None
32,Currently enrolled in an undergraduate college degree program in Cybersecurity or Computer Science,"C/C++, networking, security fundamentals, IoT/embedded systems, cloud security","Curious, motivated, passionate about security and learning new skills",None,None,None
33,"Completed college diploma (DEC), Currently studying, Bachelor's degree or college diploma (DEC) in progress",None,Ability to work flexible hours including evenings and weekends,None,None,None
34,"Master in Business Administration/ Business Economics/ Business Management/ Economics/ Marketing, Data analysis, Business analysis, with a bachelor or dual degree in Information Systems (IT)",None,"Good communication skills, Solid interpersonal skills, Able to work in a complex international matrix organization, Hands-on mentality, good in managing projects",None,None,None
35,Student in computer science or a similar discipline,None,"Efficient under pressure in emergency situations, Strong communicator",Fluent in English,None,None
36,"Pursuing a degree that aligns with Rosendin?€?s needs: Construction Management, Engineering (Architectural Engineering, Electrical, Civil and Construction), Renewable Energy, Occupational Health & Safety, Procurement, Finance, Marketing, Accounting or any other related college or work-related experience",None,None,None,None,None
37,"Pursuing or recently completed a Bachelor?€?s degree in Electrical Engineering, Computer Engineering, or a related discipline",None,None,None,Technical internship experience in electrical or computer engineering,None
38,1-2 years industry related college coursework,None,"Ability to organize large amounts of information and prioritize workload to meet deadlines, Effectively collaborate and work as a team with a diverse group of individuals",None,None,None
39,Currently pursuing a Master's or PhD degree in computer science or a related technical field,"Python, computer vision, machine learning, neural rendering (meshes, point clouds, Gaussian Splatting, NeRF), generative image/video models",None,None,Hands-on computer vision and machine learning experience (prior internships or coursework),None
40,"Pursuing an undergraduate or graduate degree in Economics, Statistics, Mathematics, or related field","Excel, pivot tables, Vlookups, Tableau, SQL",None,None,"Experience using Excel, pivot tables, and Vlookups, Experience with Tableau and SQL",None
41,None,"AWS services (e.g., S3, EC2, Lambda), Git or version control systems","Excellent communication skills, Collaborative mindset",None,"Experience working with image, video, or sensor data",None
42,None,None,"Able to climb towers unassisted up to 300 feet, Able to work safely in a confined space, Demonstrable mechanical aptitude and basic electrical knowledge, Able to safely work in a wide range of adverse climates and environments",None,None,None
43,"Current enrollment in a Bachelor's program in Human Resources, Business Administration, or a related field.","Microsoft Office Suite (Excel, Word, Outlook)","Strong organizational skills and attention to detail, Excellent verbal and written communication skills, Ability to maintain confidentiality and handle sensitive information",None,None,None
44,Currently pursuing a bachelor?€?s degree from a United States-based college or university,None,None,None,None,None
45,Currently enrolled in a four-year college and returning to school following the internship,"Microsoft Office Suite (Excel, PowerPoint, Word, Teams, SharePoint)","Strong analytical and research skills, Excellent verbal and written communication skills, Attention to detail and strong organizational skills",None,None,None
46,"Must be enrolled in an accredited college or university and pursuing a Bachelor's degree or higher in Computer Engineering, Computer Forensics, Computer Science, Cyber Security, Data Processing, Data Analytics, Engineering, Informatics, Information Management, Information Systems, Information Technology, Management Information Systems or equivalent program","MS Office applications including Excel, PowerPoint, Word and Outlook","Excellent communication, time management and leadership skills; flexible and adaptable team player; resourceful in delivering high quality work, Ability to maintain confidentiality of sensitive and privileged information",None,None,None
47,"Currently pursuing a degree in Electrical Engineering, Civil Engineering, Mechanical Engineering or a related field",None,"Strong analytical and problem-solving skills, Excellent communication and teamwork abilities, Ability to work independently and manage multiple tasks effectively",None,None,None
48,"Must be enrolled/pursuing a bachelor's degree at an accredited US college in business disciplines, Liberal Arts, Supply Chain, or related fields.",None,None,None,None,None
49,current college or university student,None,None,None,None,None
50,Currently pursuing an Undergraduate degree in Business Administration with a concentration in Human Resources,"Microsoft Office applications (Word, Excel, PowerPoint and Access)","Strong written, verbal and interpersonal skills with the ability to communicate complex ideas and concepts to multidisciplinary teams, Motivated self-starter; able to prioritize work under pressure and show great attention to detail while maintaining confidentiality and a high level of professionalism",None,None,None
51,None,MS Office,"Collaborative spirit and proactive attitude, Excellent written and verbal communication skills, Strong organizational skills and strategic mindset",None,Familiarity with public relations or enterprise tech,None
52,"Must be enrolled in an accredited college or university and pursuing the following degrees/majors: Bachelors and/or Masters in business, accounting, finance, taxation, mathematics, economics, information technology, data and analytics, engineering (financial, industrial or systems), or equivalent program","MS Office applications, including Excel, PowerPoint, Word and Outlook, artificial intelligence (AI), Alteryx and Power BI","Demonstrated quality service mindset; strong technical aptitude, critical thinking skills",None,None,None
53,Junior/Senior undergraduate or Graduate level student,None,"Strong teamwork ethic and customer support focus, Strong oral and written communication skills",None,Knowledge of application development processes,None
54,"Pursuing a Bachelor's in Engineering, Construction Management or any relevant degree","Microsoft Office Suite (Word, Excel, & PowerPoint)",None,None,Must have completed at least one year of education at their institution,None
55,Currently enrolled in an Undergraduate Degree Program with a focus on Industrial or Mechanical Engineering. Junior status preferred.,Microsoft Office,"Excellent analytical and problem-solving skills, Excellent verbal and written communication and presentation skills",None,None,None
56,3rd Year of Bachelor's degree completed or 1st year of Master's/MBA program completed,"Microsoft Excel, PowerPoint, Teams and Sharepoint","Strong analytical and problem-solving skills, Excellent communication and interpersonal skills",None,None,None
57,"Currently pursuing a Bachelor?€?s degree or higher in Supply Chain Management, Logistics, Transportation, or other relevant program",None,"Demonstrated leadership through campus involvement, Excellent leadership and administration skills, Ability to effectively manage time and resolve crises",None,Eagerness to learn supervisor responsibilities and warehouse management systems,None
58,Entering or currently enrolled in their last year of college (graduation Spring 2025 highly preferred),"Google Suite (Docs, Sheets, Decks)","Strong work ethic, Excellent communication and interpersonal skills, Desire to learn and grow within a fast-paced environment",None,None,None
59,"Pursuing a degree in economics, finance, mathematics, or statistics","Microsoft Excel, Word, and PowerPoint","Strong communication skills, Analytical mind with attention to detail",None,None,None
60,Must be pursuing a Bachelor?€?s or Master's degree graduating between December 2025 and Summer 2026,"Excel, Word, and PowerPoint","Interest in HR, eagerness to learn and a positive attitude, Strong organizational, attention to detail, Excellent verbal and written communication",None,None,None
61,Bachelor?€?s,"Microsoft Office Suite (Excel, PowerPoint, Word)","Detail-oriented, Excellent interpersonal skills, Self-motivated, Time management, Teamwork",None,None,None
62,Bachelor?€?s,None,"Ability to conduct research, Mindset to identify and assess financial risks",None,"Basic knowledge of the Sarbanes-Oxley Act (SOX), Understanding of accounting principles",None
63,Bachelor?€?s,None,"Strong analytical, Problem-solving, Decision-making, Self-awareness, Flexibility",None,None,None
64,"Bachelor?€?s, Master?€?s, PhD","CAD, Solidworks",None,None,"Knowledge of primary and secondary packaging, Understanding pharmaceutical equipment validation/qualification processes, Familiarity with testing methodologies",None
65,None,None,Ability to function in a lab environment,None,Engineering knowledge through education or experience,None
66,None,"Canva, Video editing tools","Strong writing skills, Excellent organizational and communication skills, Ability to stay on top of social trends",None,Experience with Canva and video editing tools,None
67,Bachelor?€?s,Microsoft Office Suite,"Strong data analysis capabilities, Excellent verbal and written communication skills, Ability to assess content effectiveness",None,None,None
68,None,Constituent Relationship Management databases,"Excellent written and verbal communication skills, Attention to detail, Ability to meet deadlines",None,Experience using Constituent Relationship Management databases,None
69,Bachelor?€?s,"Adobe Creative Suite (Photoshop, Illustrator, InDesign)","Excellent attention to detail, Strong communication and teamwork skills",None,None,None
70,None,"Adobe Photoshop, Adobe Lightroom, Adobe Acrobat, DSLR cameras (Nikon or other professional models)",None,None,"Background in photography, Experience covering social media and/or Public Relations",None
71,None,None,"Strong communication and presentation skills, Ability to complete required training",None,0-3 years relevant work experience,0-3 years
72,Bachelor?€?s,None,"Proven interpersonal skills, Ability to build relationships and work effectively with others",None,None,None
73,J.D. / L.L.M.,Microsoft Excel,Excellent written and verbal communication skills,None,None,None
74,"Bachelor?€?s, Master?€?s, PhD","Microsoft Office, AI tools",Curiosity and eagerness to learn,None,Basic understanding of business concepts,None
75,"Bachelor?€?s, Master?€?s","Revit, Adobe Creative Suite, Microsoft Office",None,None,"Experience with Revit, Experience with Adobe Creative Suite and Microsoft Office",None
76,None,None,None,None,None,None
77,"Master?€?s, PhD","Python, Key Python packages for data wrangling, machine learning, and deep learning",None,None,"Applied Machine Learning experience, Strong mathematical background",None
78,None,"Microsoft desktop applications, Kroll computer system","Strong communication, writing and presentation skills",None,A good knowledge base of pharmaceutical topics,None
