Job Category,City,Region,Country,Year,Month/Year,Job Count
Creative / UX / Design,Alpharetta,Georgia,USA,2025,25-Mar,3
Creative / UX / Design,Anaheim,California,USA,2025,25-Feb,1
Creative / UX / Design,Anaheim,California,USA,2025,25-Mar,1
Creative / UX / Design,Appleton,Wisconsin,USA,2024,24-Dec,1
Creative / UX / Design,Arlington,Virginia,USA,2025,25-Feb,1
Creative / UX / Design,Asbury Park,New Jersey,USA,2025,25-Mar,1
Creative / UX / Design,Ashburn,Virginia,USA,2025,25-Mar,1
Creative / UX / Design,Atlanta,Georgia,USA,2025,25-Apr,1
Creative / UX / Design,Atlanta,Georgia,USA,2025,25-Feb,1
Creative / UX / Design,Atlanta,Georgia,USA,2025,25-Jan,1
Creative / UX / Design,Atlanta,Georgia,USA,2025,25-Mar,2
Creative / UX / Design,Austin,Texas,USA,2025,25-Apr,1
Creative / UX / Design,Austin,Texas,USA,2025,25-Mar,1
Creative / UX / Design,Berlin,Connecticut,USA,2025,25-Feb,1
Creative / UX / Design,Beverly Hills,California,USA,2025,25-Apr,5
Creative / UX / Design,Beverly Hills,California,USA,2025,25-Feb,1
Creative / UX / Design,Beverly Hills,California,USA,2025,25-Mar,4
Creative / UX / Design,Birmingham,Alabama,USA,2025,25-Mar,2
Creative / UX / Design,Boise,Idaho,USA,2025,25-Feb,4
Creative / UX / Design,Boise,Idaho,USA,2025,25-Mar,1
Creative / UX / Design,Boston,Massachusetts,USA,2024,24-Oct,2
Creative / UX / Design,Boston,Massachusetts,USA,2025,25-Apr,3
Creative / UX / Design,Boston,Massachusetts,USA,2025,25-Feb,8
Creative / UX / Design,Boston,Massachusetts,USA,2025,25-Jan,1
Creative / UX / Design,Bothell,Washington,USA,2025,25-Feb,2
Creative / UX / Design,Boxborough,Massachusetts,USA,2024,24-Nov,1
Creative / UX / Design,Brookfield,Wisconsin,USA,2025,25-Mar,1
Creative / UX / Design,Brooklyn,New York,USA,2019,19-Oct,1
Creative / UX / Design,Brooklyn,New York,USA,2025,25-Apr,1
Creative / UX / Design,Buffalo,New York,USA,2025,25-Apr,1
Creative / UX / Design,Buffalo,New York,USA,2025,25-Mar,1
Creative / UX / Design,Burbank,California,USA,2024,24-Oct,1
Creative / UX / Design,Burlingame,California,USA,2025,25-Mar,1
Creative / UX / Design,Calabasas,California,USA,2024,24-Dec,1
Creative / UX / Design,Calabasas,California,USA,2025,25-Feb,1
Creative / UX / Design,Calgary,Alberta,Canada,2025,25-Feb,1
Creative / UX / Design,Cambridge,Massachusetts,USA,2025,25-Mar,1
Creative / UX / Design,Campbell,California,USA,2025,25-Feb,1
Creative / UX / Design,Cartersville,Georgia,USA,2025,25-Mar,1
Creative / UX / Design,Cary,North Carolina,USA,2024,24-Dec,2
Creative / UX / Design,Charlottesville,Virginia,USA,2024,24-Sep,1
Creative / UX / Design,Chattanooga,Tennessee,USA,2025,25-Mar,1
Creative / UX / Design,Chicago,Illinois,USA,2024,24-Oct,1
Creative / UX / Design,Chicago,Illinois,USA,2025,25-Apr,1
Creative / UX / Design,Chicago,Illinois,USA,2025,25-Feb,3
Creative / UX / Design,Chicago,Illinois,USA,2025,25-Mar,7
Creative / UX / Design,Cincinnati,Ohio,USA,2024,24-Dec,1
Creative / UX / Design,Cincinnati,Ohio,USA,2025,25-Apr,2
Creative / UX / Design,Cincinnati,Ohio,USA,2025,25-Mar,1
Creative / UX / Design,Colchester,Vermont,USA,2025,25-Mar,1
Creative / UX / Design,College Station,Texas,USA,2025,25-Feb,1
Creative / UX / Design,Columbia,Maryland,USA,2025,25-Apr,1
Creative / UX / Design,Columbia,Maryland,USA,2025,25-Mar,1
Creative / UX / Design,Columbus,Ohio,USA,2025,25-Apr,1
Creative / UX / Design,Cottonwood Heights,Utah,USA,2025,25-Feb,1
Creative / UX / Design,Culver City,California,USA,2025,25-Apr,1
Creative / UX / Design,Culver City,California,USA,2025,25-Mar,2
Creative / UX / Design,Dallas,Texas,USA,2024,24-Oct,1
Creative / UX / Design,Dallas,Texas,USA,2025,25-Feb,2
Creative / UX / Design,Dallas,Texas,USA,2025,25-Mar,2
Creative / UX / Design,Danvers,Massachusetts,USA,2025,25-Mar,3
Creative / UX / Design,Dayton,Ohio,USA,2025,25-Feb,1
