Job Category,Region,Country,Year,Month/Year,Job Count,City,Job Type,,1),"Modify  column names as I changed: Job Category, Region",
Creative / UX / Design,Alabama,USA,2025,25-Mar,3,,Onsite,,2),Create City  column as required by sponsor,
Creative / UX / Design,Alberta,Canada,2025,25-Feb,1,,Remote,,3),Create Job Type column if possible,
Creative / UX / Design,Arizona,USA,2025,25-Mar,1,,Hybrid,,,,
Creative / UX / Design,British Columbia,Canada,2024,24-Nov,1,,,,4),correct Country values,
Creative / UX / Design,British Columbia,Canada,2024,24-Sep,1,,,,,,
Creative / UX / Design,British Columbia,Canada,2025,25-Mar,2,,,,,Country,
Creative / UX / Design,California,USA,2015,15-Aug,1,,,,,Current,Should be
Creative / UX / Design,California,USA,2021,21-Aug,3,,,,,Canada,
Creative / UX / Design,California,USA,2024,24-Aug,1,,,,,USA,
Creative / UX / Design,California,USA,2024,24-Dec,4,,,,,UK,
Creative / UX / Design,California,USA,2024,24-May,1,,,,,Haifa,Israel
Creative / UX / Design,California,USA,2024,24-Nov,2,,,,,Mexico,
Creative / UX / Design,California,USA,2024,24-Oct,2,,,,,United Kingdom,
Creative / UX / Design,California,USA,2024,24-Sep,1,,,,,China,
Creative / UX / Design,California,USA,2025,25-Apr,13,,,,,Jakarta,"not country, Indonesia"
Creative / UX / Design,California,USA,2025,25-Feb,15,,,,,,
Creative / UX / Design,California,USA,2025,25-Jan,10,,,,5),correct Region values,
Creative / UX / Design,California,USA,2025,25-Mar,30,,,,,,
Creative / UX / Design,Colorado,USA,2024,24-Dec,1,,,,,Region,Country
Creative / UX / Design,Colorado,USA,2024,24-Nov,1,,,,,England,Canada
Creative / UX / Design,Colorado,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Colorado,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Colorado,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Connecticut,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,D.C.,USA,2024,24-Oct,2,,,,,,
Creative / UX / Design,D.C.,USA,2025,25-Jan,2,,,,,,
Creative / UX / Design,D.C.,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,D.C.,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,D.C.,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,D.C.,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,District of Columbia,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,District of Columbia,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Florida,USA,2024,24-Dec,1,,,,,,
Creative / UX / Design,Florida,USA,2024,24-Oct,1,,,,,,
Creative / UX / Design,Florida,USA,2024,24-Sep,1,,,,,,
Creative / UX / Design,Florida,USA,2025,25-Apr,2,,,,,,
Creative / UX / Design,Florida,USA,2025,25-Mar,4,,,,,,
Creative / UX / Design,Georgia,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Georgia,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Georgia,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Georgia,USA,2025,25-Mar,7,,,,,,
Creative / UX / Design,Idaho,USA,2025,25-Feb,4,,,,,,
Creative / UX / Design,Idaho,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Illinois,USA,2024,24-Oct,1,,,,,,
Creative / UX / Design,Illinois,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Illinois,USA,2025,25-Feb,4,,,,,,
Creative / UX / Design,Illinois,USA,2025,25-Jan,2,,,,,,
Creative / UX / Design,Illinois,USA,2025,25-Mar,8,,,,,,
Creative / UX / Design,Indiana,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Iowa,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Kansas,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Kentucky,USA,2024,24-Dec,4,,,,,,
Creative / UX / Design,Kentucky,USA,2024,24-Nov,1,,,,,,
Creative / UX / Design,Kentucky,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Maryland,USA,2024,24-Dec,3,,,,,,
Creative / UX / Design,Maryland,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Maryland,USA,2025,25-Mar,2,,,,,,
Creative / UX / Design,Massachusetts,USA,2024,24-Dec,1,,,,,,
Creative / UX / Design,Massachusetts,USA,2024,24-Nov,1,,,,,,
Creative / UX / Design,Massachusetts,USA,2024,24-Oct,2,,,,,,
Creative / UX / Design,Massachusetts,USA,2025,25-Apr,3,,,,,,
Creative / UX / Design,Massachusetts,USA,2025,25-Feb,11,,,,,,
Creative / UX / Design,Massachusetts,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Massachusetts,USA,2025,25-Mar,6,,,,,,
Creative / UX / Design,Michigan,USA,2025,25-Feb,5,,,,,,
Creative / UX / Design,Michigan,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Michigan,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Minnesota,USA,2024,24-Dec,1,,,,,,
Creative / UX / Design,Minnesota,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Missouri,USA,2024,24-Oct,1,,,,,,
Creative / UX / Design,Missouri,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Missouri,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Missouri,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Missouri,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Nebraska,USA,2024,24-Dec,1,,,,,,
Creative / UX / Design,Nebraska,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Nebraska,USA,2025,25-Mar,4,,,,,,
Creative / UX / Design,Nevada,USA,2024,24-Nov,1,,,,,,
Creative / UX / Design,Nevada,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,New Hampshire,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,New Hampshire,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,New Hampshire,USA,2025,25-Mar,2,,,,,,
Creative / UX / Design,New Jersey,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,New Jersey,USA,2025,25-Mar,3,,,,,,
Creative / UX / Design,New York,USA,2019,19-Oct,1,,,,,,
Creative / UX / Design,New York,USA,2024,24-Dec,5,,,,,,
Creative / UX / Design,New York,USA,2024,24-Nov,5,,,,,,
Creative / UX / Design,New York,USA,2024,24-Oct,2,,,,,,
Creative / UX / Design,New York,USA,2025,25-Apr,12,,,,,,
Creative / UX / Design,New York,USA,2025,25-Feb,11,,,,,,
Creative / UX / Design,New York,USA,2025,25-Jan,3,,,,,,
Creative / UX / Design,New York,USA,2025,25-Mar,23,,,,,,
Creative / UX / Design,North Carolina,USA,2024,24-Dec,2,,,,,,
Creative / UX / Design,North Carolina,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,North Carolina,USA,2025,25-Jan,2,,,,,,
Creative / UX / Design,Ohio,USA,2024,24-Dec,1,,,,,,
Creative / UX / Design,Ohio,USA,2025,25-Apr,3,,,,,,
Creative / UX / Design,Ohio,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Ohio,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Ohio,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Oklahoma,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Ontario,Canada,2024,24-Aug,1,,,,,,
Creative / UX / Design,Ontario,Canada,2024,24-Nov,2,,,,,,
Creative / UX / Design,Ontario,Canada,2024,24-Oct,1,,,,,,
Creative / UX / Design,Ontario,Canada,2025,25-Apr,2,,,,,,
Creative / UX / Design,Ontario,Canada,2025,25-Feb,7,,,,,,
Creative / UX / Design,Ontario,Canada,2025,25-Jan,1,,,,,,
Creative / UX / Design,Ontario,Canada,2025,25-Mar,9,,,,,,
Creative / UX / Design,Oregon,USA,2025,25-Mar,2,,,,,,
Creative / UX / Design,Pennsylvania,USA,2024,24-Oct,1,,,,,,
Creative / UX / Design,Pennsylvania,USA,2025,25-Jan,1,,,,,,
Creative / UX / Design,Pennsylvania,USA,2025,25-Mar,4,,,,,,
Creative / UX / Design,Quebec,Canada,2025,25-Feb,1,,,,,,
Creative / UX / Design,Quebec,Canada,2024,24-Oct,4,,,,,,
Creative / UX / Design,Quebec,Canada,2025,25-Feb,2,,,,,,
Creative / UX / Design,Quebec,Canada,2025,25-Jan,1,,,,,,
Creative / UX / Design,Quebec,Canada,2025,25-Mar,3,,,,,,
Creative / UX / Design,Saskatchewan,Canada,2025,25-Apr,1,,,,,,
Creative / UX / Design,Tennessee,USA,2024,24-Dec,2,,,,,,
Creative / UX / Design,Tennessee,USA,2025,25-Apr,3,,,,,,
Creative / UX / Design,Tennessee,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Texas,USA,2024,24-Oct,1,,,,,,
Creative / UX / Design,Texas,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Texas,USA,2025,25-Feb,6,,,,,,
Creative / UX / Design,Texas,USA,2025,25-Mar,6,,,,,,
Creative / UX / Design,Not Specific,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Not Specific,USA,2025,25-Mar,1,,,,,,
Creative / UX / Design,Utah,USA,2024,24-Nov,2,,,,,,
Creative / UX / Design,Utah,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Vermont,USA,2025,25-Mar,2,,,,,,
Creative / UX / Design,Virginia,USA,2024,24-Sep,1,,,,,,
Creative / UX / Design,Virginia,USA,2025,25-Apr,2,,,,,,
Creative / UX / Design,Virginia,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Virginia,USA,2025,25-Mar,2,,,,,,
Creative / UX / Design,Washington,USA,2025,25-Apr,1,,,,,,
Creative / UX / Design,Washington,USA,2025,25-Feb,4,,,,,,
Creative / UX / Design,Washington,USA,2025,25-Mar,4,,,,,,
Creative / UX / Design,Wisconsin,USA,2024,24-Dec,3,,,,,,
Creative / UX / Design,Wisconsin,USA,2024,24-Nov,1,,,,,,
Creative / UX / Design,Wisconsin,USA,2025,25-Apr,3,,,,,,
Creative / UX / Design,Wisconsin,USA,2025,25-Feb,1,,,,,,
Creative / UX / Design,Wisconsin,USA,2025,25-Mar,3,,,,,,
Data & Analytics,Alabama,USA,2025,25-Apr,4,,,,,,
Data & Analytics,Alabama,USA,2025,25-Feb,4,,,,,,
Data & Analytics,Alabama,USA,2025,25-Mar,5,,,,,,
Data & Analytics,Alaska,USA,2025,25-Mar,1,,,,,,
Data & Analytics,Alberta,Canada,2024,24-Apr,1,,,,,,
Data & Analytics,Alberta,Canada,2024,24-Nov,1,,,,,,
Data & Analytics,Alberta,Canada,2025,25-Apr,6,,,,,,
Data & Analytics,Alberta,Canada,2025,25-Feb,10,,,,,,
Data & Analytics,Alberta,Canada,2025,25-Mar,10,,,,,,
Data & Analytics,Arizona,USA,2024,24-Dec,3,,,,,,
Data & Analytics,Arizona,USA,2024,24-Nov,2,,,,,,
Data & Analytics,Arizona,USA,2025,25-Apr,8,,,,,,
Data & Analytics,Arizona,USA,2025,25-Feb,6,,,,,,
Data & Analytics,Arizona,USA,2025,25-Jan,1,,,,,,
Data & Analytics,Arizona,USA,2025,25-Mar,4,,,,,,
Data & Analytics,Arkansas,USA,2024,24-Dec,3,,,,,,
