Location,Count
Remote,1557
"New York, New York, USA",1003
"Chicago, Illinois, USA",596
"Toronto, Ontario, Canada",530
"Boston, Massachusetts, USA",472
"San Francisco, California, USA",400
"Austin, Texas, USA",337
Not Provided,251
"Houston, Texas, USA",245
"Los Angeles, California, USA",239
"San Jose, California, USA",236
"Atlanta, Georgia, USA",230
"Dallas, Texas, USA",213
"Montreal, Quebec, Canada",183
"Denver, Colorado, USA",180
USA,170
"San Diego, California, USA",168
"Seattle, Washington, USA",162
"Charlotte, North Carolina, USA",161
"Santa Clara, California, USA",159
"Philadelphia, Pennsylvania, USA",158
"Cambridge, Massachusetts, USA",156
"Minneapolis, Minnesota, USA",143
"Mountain View, California, USA",142
"Vancouver, British Columbia, Canada",136
"Raleigh, North Carolina, USA",131
"Mississauga, Ontario, Canada",129
"Indianapolis, Indiana, USA",119
"Beverly Hills, California, USA",115
"Irvine, California, USA",114
